video_id,languages_all,languages_non_auto,has_auto_dub,source,fetched_at,status,error
1BuTR5nXS8I,de-DE|en|en-US|es-US|fr-FR|hi|id|it|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
GXDKhCWUY8k,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
UaOeE8AJD9Q,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
4R1WPK3u8II,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
m_icISNqoS8,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|nl-NL|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
wgopoQYzeTY,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
ayYSOAbbmWc,en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
nid0tHZxBA0,en-US,en-US,false,youtubei.js,2025-12-31,ok,
3x8Eo2TuKHI,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
qs0QujceVEI,en,en,unknown,youtubei.js,2025-12-31,ok,
gVF92BfeL9c,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
VuFSLaQapbU,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
qYmv5lPGdcs,en|en-US|es-US|fr-FR|hi|it|pl,en-US,true,youtubei.js,2025-12-31,ok,
hglseVMaoq4,de-DE|en|en-US|fr-FR|hi|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
YxwmC8B5wgg,en,en,unknown,youtubei.js,2025-12-31,ok,
aNX2XCcy514,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
B4hWxI5_5eo,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|ml|pl|pt-BR|uk,en-US,true,youtubei.js,2025-12-31,ok,
dacojrlGM7Q,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
gKmLpZakyxM,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
G8xqKbqqWDg,en,en,unknown,youtubei.js,2025-12-31,ok,
u1zHOpQ1xek,en|en-US|es-US|fr-FR|hi|it|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
3KVSyQ8J3o4,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
QdeFU_vRBT4,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
4VB7xyZdR8s,de-DE|en|en-US|es-US|fr-FR|hi|id|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
OpYF-R8IE8k,en-US,en-US,false,youtubei.js,2025-12-31,ok,
p5SoWdLO8Kw,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
0xJx-0YF5vs,en|en-US|ja|pl,en-US,true,youtubei.js,2025-12-31,ok,
7wupvHtEbEU,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
jdA1VRmgcWY,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
APv4QrCdI_g,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
P2_R9TGQAYM,en,en,unknown,youtubei.js,2025-12-31,ok,
lcz2xzyDyTE,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
eEFsnP3nUR4,en,en,unknown,youtubei.js,2025-12-31,ok,
TXTGvFaqIXE,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
273f0aNKuy0,en|en-US|fr-FR|hi|id|it|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
XjQoend23TM,en-US,en-US,false,youtubei.js,2025-12-31,ok,
nMfa45kh9i8,de-DE|en|en-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
XjLF4-XUH_A,en|en-US|fr-FR|hi|ja,en-US,true,youtubei.js,2025-12-31,ok,
1oUqQRHcOlo,en,en,unknown,youtubei.js,2025-12-31,ok,
CK4oWbidhyQ,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
XeF_gkwryFM,en|en-US|es-US|fr-FR|hi|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
CqPONswzchQ,en,en,unknown,youtubei.js,2025-12-31,ok,
jLSELiIvSqk,de-DE|en|en-US|fr-FR|hi|id|it|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
eXazUguoWXs,en-US,en-US,false,youtubei.js,2025-12-31,ok,
LHbOv-9yx78,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
631u-hRSLYA,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pl|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
kXBvaj5eFgk,en,en,unknown,youtubei.js,2025-12-31,ok,
TAJ2thKBWXM,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
gqKUC1jZ6Cc,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
_JmfyoB2jSQ,en-US,en-US,false,youtubei.js,2025-12-31,ok,
YaTsPvyTCLQ,en|en-US|id|it|ja,en-US,true,youtubei.js,2025-12-31,ok,
S7sK-SqNoMo,en,en,unknown,youtubei.js,2025-12-31,ok,
uMEcl7AlFl4,en,en,unknown,youtubei.js,2025-12-31,ok,
rJnrkMSDBls,en,en,unknown,youtubei.js,2025-12-31,ok,
c1v4ToZQfkE,en,en,unknown,youtubei.js,2025-12-31,ok,
6n8L0I-CmtQ,en-US,en-US,false,youtubei.js,2025-12-31,ok,
4ZJWv6t-PfY,en,en,unknown,youtubei.js,2025-12-31,ok,
1cgy5SRIr2c,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
7tmVwvlPgGc,en,en,unknown,youtubei.js,2025-12-31,ok,
j4NjpN10P4Q,en|en-US|es-US|fr-FR|hi|it|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
cVvAhPlwi7k,en,en,unknown,youtubei.js,2025-12-31,ok,
GDcJqVAhNbE,en|en-US|es-US|fr-FR|hi|ja|pl,en-US,true,youtubei.js,2025-12-31,ok,
3Hmw-W2zVZg,de-DE|en|en-US|es-US|fr-FR|hi|id|it|ja|pt-BR,en-US,true,youtubei.js,2025-12-31,ok,
xLptmqmMWtU,en,en,unknown,youtubei.js,2025-12-31,ok,
