resourceID,tagID,weight
42000,22,5
42000,7,4
42000,17,3
42000,39,2
42000,66,1
42001,7,5
42001,22,4
42001,23,3
42001,16,2
42001,53,1
42002,3,5
42002,16,4
42002,33,3
42002,8,2
42002,36,1
42003,16,5
42003,3,4
42003,34,3
42003,42,2
42003,31,1
42004,16,5
42004,3,4
42004,34,3
42004,42,2
42004,4,1
42005,3,5
42005,2,4
42005,22,3
42005,16,2
42005,36,1
42006,30,5
42006,16,4
42006,13,3
42006,3,2
42006,41,1
42007,16,5
42007,13,4
42007,22,3
42007,3,2
42007,4,1
42008,16,5
42008,24,4
42008,69,3
42008,13,2
42008,49,1
42009,16,5
42009,133,4
42009,77,3
42009,110,2
42009,94,1
42010,16,5
42010,36,4
42010,33,3
42010,13,2
42010,4,1
42011,22,5
42011,4,4
42011,36,3
42011,156,2
42011,13,1
42012,16,5
42012,23,4
42012,24,3
42012,69,2
42012,4,1
42013,16,5
42013,101,4
42013,105,3
42013,69,2
42013,86,1
42014,22,5
42014,16,4
42014,156,3
42014,86,2
42014,88,1
42015,16,5
42015,36,4
42015,15,3
42015,4,2
42015,12,1
42016,16,5
42016,22,4
42016,36,3
42016,33,2
42016,13,1
42017,16,5
42017,13,4
42017,49,3
42017,22,2
42017,12,1
42018,16,5
42018,86,4
42018,88,3
42018,89,2
42018,15,1
42019,16,5
42019,86,4
42019,88,3
42019,89,2
42019,4,1
42020,16,5
42020,22,4
42020,23,3
42020,63,2
42020,4,1
42021,16,5
42021,36,4
42021,15,3
42021,43,2
42021,4,1
42022,3,5
42022,16,4
42022,46,3
42022,36,2
42022,43,1
42023,16,5
42023,36,4
42023,43,3
42023,4,2
42023,17,1
42024,3,5
42024,16,4
42024,2,3
42024,41,2
42024,28,1
42025,16,5
42025,23,4
42025,3,3
42025,34,2
42025,2,1
42026,84,5
42026,16,4
42026,23,3
42026,40,2
42026,6,1
42027,46,5
42027,16,4
42027,23,3
42027,7,2
42027,4,1
42028,16,5
42028,51,4
42028,145,3
42028,105,2
42028,133,1
42029,16,5
42029,84,4
42029,107,3
42029,108,2
42029,88,1
42030,110,5
42030,24,4
42030,69,3
42030,46,2
42030,105,1
42031,16,5
42031,88,4
42031,89,3
42031,84,2
42031,202,1
42032,88,5
42032,16,4
42032,46,3
42032,86,2
42032,89,1
42033,8,5
42033,31,4
42033,53,3
42033,56,2
42033,183,1
42034,22,5
42034,16,4
42034,34,3
42034,53,2
42034,4,1
42035,16,5
42035,46,4
42035,59,3
42035,53,2
42035,101,1
42036,16,5
42036,101,4
42036,102,3
42036,63,2
42036,4,1
42037,17,5
42037,4,4
42037,16,3
42037,12,2
42037,37,1
42038,16,5
42038,17,4
42038,36,3
42038,4,2
42038,12,1
42039,16,5
42039,6,4
42039,23,3
42039,36,2
42039,2,1
42040,16,5
42040,69,4
42040,105,3
42040,101,2
42040,23,1
42041,17,5
42041,2,4
42041,133,3
42041,10,2
42041,132,1
42042,16,5
42042,86,4
42042,88,3
42042,89,2
42042,110,1
42043,16,5
42043,94,4
42043,101,3
42043,102,2
42043,105,1
42044,16,5
42044,24,4
42044,69,3
42044,105,2
42044,23,1
42045,24,5
42045,16,4
42045,105,3
42045,69,2
42045,53,1
42046,16,5
42046,46,4
42046,34,3
42046,3,2
42046,4,1
42047,24,5
42047,16,4
42047,69,3
42047,105,2
42047,46,1
42048,3,5
42048,36,4
42048,2,3
42048,17,2
42048,15,1
42049,3,5
42049,34,4
42049,36,3
42049,4,2
42049,43,1
42050,3,5
42050,34,4
42050,16,3
42050,46,2
42050,57,1
42051,16,5
42051,101,4
42051,102,3
42051,105,2
42051,69,1
